"Facebook Reviews","Facebook Reviews"
"General Settings","General Settings"
"Facebook AppID","Facebook AppID"
"Get at <a target=""_blank"" href=""https://developers.facebook.com/apps"">Facebook for Developers</a>","Get at <a target=""_blank"" href=""https://developers.facebook.com/apps"">Facebook for Developers</a>"
"Review Title","Review Title"
"Leave empty to use the product page title","Leave empty to use the product page title"
"Reviews per Page","Reviews per Page"
"Chronological Order","Chronological Order"
"Display Options","Display Options"
"Block Width (px)","Block Width (px)"
"No Default Styles","No Default Styles"
"Custom CSS","Custom CSS"
